direction,rank,year,aggregate_change_m_eur,aggregate_change_pct_gdp,central_change_m_eur,regional_local_change_m_eur,ssf_change_m_eur,dominant_subsector,dominant_subsector_share,revenue_change_m_eur,expenditure_change_m_eur,account_balance_change_m_eur,source_family_difference_m_eur
improvement,1,2011,6913,3.920756792,5937,1342,-366,Central Government,0.8588167221,1796.165043,-5116.92647,6913.091513,-0.09151299999
improvement,2,2015,4726,2.634443744,4283,121,321,Central Government,0.9062632247,1854.31,-2871.239002,4725.549002,0.450998
improvement,3,2021,5447,2.516008026,5570,-394,270,Central Government,1.022581237,9188.335,3741.516,5446.819,0.181
improvement,4,1986,633.4873349,2.515653866,355.3721675,96.71569019,181.3994773,Central Government,0.5609775411,2091.911212,1458.423877,633.4873349,0
improvement,5,2018,4997,2.437588966,5053,151,-208,Central Government,1.011206724,4793.556,-203.17606,4996.73206,0.26794
deterioration,1,2009,-10496,-5.983475767,-8939,-289,-1268,Central Government,-0.8516577744,-3801.831215,6694.091414,-10495.92263,-0.07737099999
deterioration,2,2020,-11813,-5.87615831,-10224,-811,-777,Central Government,-0.8654871751,-4176.497,7636.364,-11812.861,-0.139
deterioration,3,1981,-477.8025258,-5.400542775,-385.3031244,-47.96340819,-44.53599326,Central Government,-0.8064066294,573.462683,1051.265209,-477.8025258,0
deterioration,4,1984,-790.1585603,-4.707516089,-922.2316142,-0.6123193105,132.6853733,Central Government,-1.167147533,943.0005436,1733.159104,-790.1585603,0
deterioration,5,1980,-296.2232916,-4.022677873,-233.0719335,-34.2340139,-28.9173442,Central Government,-0.7868116388,523.0122156,819.2355072,-296.2232916,0
